narration_id,stop_frame,narration,all_nouns,all_noun_classes
P04_120_0,37,pick up spatula,spatula,20
P04_120_1,194,pull spatula through milk,spatula,20
P04_120_102,16675,turn on tap,tap,0
P04_120_103,16750,rinse hands,hand,11
P04_120_104,16785,turn off tap,tap,0
P04_120_106,16920,dry hands on tea towel,hand,11
P04_120_108,17058,pick up spatula,spatula,20
P04_120_110,17272,drag spatula through milk in pan,spatula,20
P04_120_110,17272,drag spatula through milk in pan,pan,5
P04_120_111,17384,put down spatula,spatula,20
P04_120_116,18137,pick up spatula,spatula,20
P04_120_117,18287,drag spatula through milk in pan,spatula,20
P04_120_117,18287,drag spatula through milk in pan,pan,5
P04_120_118,18430,put down spatula,spatula,20
P04_120_124,19456,pick up spatula,spatula,20
P04_120_125,19537,pick up knife,knife,4
P04_120_127,19757,open drawer,drawer,8
P04_120_128,19813,put spatula in drawer,spatula,20
P04_120_128,19813,put spatula in drawer,drawer,8
P04_120_13,2291,pick up spatula,spatula,20
P04_120_130,19964,wipe plate bowl with hand,hand,11
P04_120_131,20074,open cupboard,cupboard,3
P04_120_132,20126,put plate bowl in cupboard,cupboard,3
P04_120_134,20472,turn on tap,tap,0
P04_120_137,20565,pick up sponge,sponge,9
P04_120_138,20653,wipe ramekin with sponge,sponge,9
P04_120_14,2528,drag spatula through milk,spatula,20
P04_120_140,20790,wipe ramekin with sponge,sponge,9
P04_120_143,20872,turn off tap,tap,0
P04_120_147,21429,put ramekin in cupboard,cupboard,3
P04_120_149,21597,turn on tap,tap,0
P04_120_153,21717,turn off tap,tap,0
P04_120_158,22296,open cupboard,cupboard,3
P04_120_159,22361,put saucepan in cupboard,cupboard,3
P04_120_16,2767,put down spatula,spatula,20
P04_120_160,22428,close cupboard,cupboard,3
P04_120_162,22520,open cupboard,cupboard,3
P04_120_163,22599,put saucepan lid in cupboard,cupboard,3
P04_120_171,23282,put saucepan in cupboard,cupboard,3
P04_120_172,23398,pick up bowl,bowl,7
P04_120_173,23461,put bowl on stack of bowls in cupboard,bowl,7
P04_120_173,23461,put bowl on stack of bowls in cupboard,cupboard,3
P04_120_176,23703,close drawer,drawer,8
P04_120_177,23759,open drawer,drawer,8
P04_120_178,23793,put rolling pin in drawer,drawer,8
P04_120_179,23829,close drawer,drawer,8
P04_120_181,23933,pick up plate,plate,2
P04_120_183,24157,dry plates with tea towel,plate,2
P04_120_186,24338,put plate in cupboard,plate,2
P04_120_186,24338,put plate in cupboard,cupboard,3
P04_120_188,24451,pick up spatula,spatula,20
P04_120_189,24586,drag spatula through milk in pan,spatula,20
P04_120_189,24586,drag spatula through milk in pan,pan,5
P04_120_190,24734,put down spatula,spatula,20
P04_120_192,24895,pick up plates,plate,2
P04_120_193,24952,pick up plate,plate,2
P04_120_194,25038,stack plates,plate,2
P04_120_196,25181,put plates on stack of plates,plate,2
P04_120_199,25492,stack plate bowl in cupboard,cupboard,3
P04_120_2,363,put down spatula,spatula,20
