narration_id,stop_frame,narration,all_nouns,all_noun_classes
P04_120_0,P04_120_37.jpg,pick up spatula,spatula,20
P04_120_1,P04_120_194.jpg,pull spatula through milk,spatula,20
P04_120_102,P04_120_16675.jpg,turn on tap,tap,0
P04_120_103,P04_120_16750.jpg,rinse hands,hand,11
P04_120_104,P04_120_16785.jpg,turn off tap,tap,0
P04_120_106,P04_120_16920.jpg,dry hands on tea towel,hand,11
P04_120_108,P04_120_17058.jpg,pick up spatula,spatula,20
P04_120_110,P04_120_17272.jpg,drag spatula through milk in pan,spatula,20
P04_120_110,P04_120_17272.jpg,drag spatula through milk in pan,pan,5
P04_120_111,P04_120_17384.jpg,put down spatula,spatula,20
P04_120_116,P04_120_18137.jpg,pick up spatula,spatula,20
P04_120_117,P04_120_18287.jpg,drag spatula through milk in pan,spatula,20
P04_120_117,P04_120_18287.jpg,drag spatula through milk in pan,pan,5
P04_120_118,P04_120_18430.jpg,put down spatula,spatula,20
P04_120_124,P04_120_19456.jpg,pick up spatula,spatula,20
P04_120_125,P04_120_19537.jpg,pick up knife,knife,4
P04_120_127,P04_120_19757.jpg,open drawer,drawer,8
P04_120_128,P04_120_19813.jpg,put spatula in drawer,spatula,20
P04_120_128,P04_120_19813.jpg,put spatula in drawer,drawer,8
P04_120_13,P04_120_2291.jpg,pick up spatula,spatula,20
P04_120_130,P04_120_19964.jpg,wipe plate bowl with hand,hand,11
P04_120_131,P04_120_20074.jpg,open cupboard,cupboard,3
P04_120_132,P04_120_20126.jpg,put plate bowl in cupboard,cupboard,3
P04_120_134,P04_120_20472.jpg,turn on tap,tap,0
P04_120_137,P04_120_20565.jpg,pick up sponge,sponge,9
P04_120_138,P04_120_20653.jpg,wipe ramekin with sponge,sponge,9
P04_120_14,P04_120_2528.jpg,drag spatula through milk,spatula,20
P04_120_140,P04_120_20790.jpg,wipe ramekin with sponge,sponge,9
P04_120_143,P04_120_20872.jpg,turn off tap,tap,0
P04_120_147,P04_120_21429.jpg,put ramekin in cupboard,cupboard,3
P04_120_149,P04_120_21597.jpg,turn on tap,tap,0
P04_120_153,P04_120_21717.jpg,turn off tap,tap,0
P04_120_158,P04_120_22296.jpg,open cupboard,cupboard,3
P04_120_159,P04_120_22361.jpg,put saucepan in cupboard,cupboard,3
P04_120_16,P04_120_2767.jpg,put down spatula,spatula,20
P04_120_160,P04_120_22428.jpg,close cupboard,cupboard,3
P04_120_162,P04_120_22520.jpg,open cupboard,cupboard,3
P04_120_163,P04_120_22599.jpg,put saucepan lid in cupboard,cupboard,3
P04_120_171,P04_120_23282.jpg,put saucepan in cupboard,cupboard,3
P04_120_172,P04_120_23398.jpg,pick up bowl,bowl,7
P04_120_173,P04_120_23461.jpg,put bowl on stack of bowls in cupboard,bowl,7
P04_120_173,P04_120_23461.jpg,put bowl on stack of bowls in cupboard,cupboard,3
P04_120_176,P04_120_23703.jpg,close drawer,drawer,8
P04_120_177,P04_120_23759.jpg,open drawer,drawer,8
P04_120_178,P04_120_23793.jpg,put rolling pin in drawer,drawer,8
P04_120_179,P04_120_23829.jpg,close drawer,drawer,8
P04_120_181,P04_120_23933.jpg,pick up plate,plate,2
P04_120_183,P04_120_24157.jpg,dry plates with tea towel,plate,2
P04_120_186,P04_120_24338.jpg,put plate in cupboard,plate,2
P04_120_186,P04_120_24338.jpg,put plate in cupboard,cupboard,3
P04_120_188,P04_120_24451.jpg,pick up spatula,spatula,20
P04_120_189,P04_120_24586.jpg,drag spatula through milk in pan,spatula,20
P04_120_189,P04_120_24586.jpg,drag spatula through milk in pan,pan,5
P04_120_190,P04_120_24734.jpg,put down spatula,spatula,20
P04_120_192,P04_120_24895.jpg,pick up plates,plate,2
