stop_frame,all_nouns,all_noun_classes
P02_108_11098.jpg,glass,10
P02_108_11211.jpg,glass,10
P02_108_11734.jpg,glass,10
P02_108_11843.jpg,glass,10
P02_108_11931.jpg,cupboard,3
P02_108_12004.jpg,glass,10
P02_108_12062.jpg,cupboard,3
P02_108_12135.jpg,glass,10
P02_108_12241.jpg,hand,11
P02_108_12457.jpg,bowl,7
P02_108_12619.jpg,lid,6
P02_108_13194.jpg,drawer,8
P02_108_15425.jpg,glass,10
P02_108_15619.jpg,glass,10
P02_108_15733.jpg,glass,10
P02_108_16263.jpg,glass,10
P02_108_16556.jpg,glass,10
P02_108_16703.jpg,glass,10
P02_108_16916.jpg,glass,10
P02_108_17297.jpg,glass,10
P02_108_1804.jpg,cupboard,3
P02_108_17573.jpg,glass,10
P02_108_17828.jpg,glass,10
P02_108_18016.jpg,glass,10
P02_108_18334.jpg,glass,10
P02_108_18590.jpg,glass,10
P02_108_18941.jpg,drawer,8
P02_108_19047.jpg,spoon,1
P02_108_19093.jpg,drawer,8
P02_108_19701.jpg,spoon,1
P02_108_19785.jpg,spoon,1
P02_108_19785.jpg,bowl,7
P02_108_20044.jpg,spoon,1
P02_108_20084.jpg,spoon,1
P02_108_20084.jpg,bowl,7
P02_108_20328.jpg,glass,10
P02_108_20328.jpg,bowl,7
P02_108_20490.jpg,glass,10
P02_108_21358.jpg,bowl,7
P02_108_21358.jpg,spoon,1
P02_108_22782.jpg,bowl,7
P02_108_22782.jpg,spoon,1
P02_108_23231.jpg,spoon,1
P02_108_23349.jpg,spoon,1
P02_108_23504.jpg,hand,11
P02_108_23504.jpg,bowl,7
P02_108_23827.jpg,hand,11
P02_108_23982.jpg,hand,11
P02_108_23982.jpg,bowl,7
P02_108_24277.jpg,dough,25
P02_108_24277.jpg,hand,11
P02_108_24600.jpg,hand,11
P02_108_24730.jpg,hand,11
P02_108_24730.jpg,bowl,7
P02_108_25772.jpg,dough,25
P02_108_27245.jpg,dough,25
P02_108_2243.jpg,cupboard,3
P02_108_27305.jpg,dough,25
P02_108_27305.jpg,bowl,7
P02_108_27543.jpg,bowl,7
P02_108_28350.jpg,dough,25
P02_108_28350.jpg,hand,11
P02_108_29399.jpg,bowl,7
P02_108_29595.jpg,dough,25
P02_108_29595.jpg,hand,11
P02_108_30287.jpg,dough,25
P02_108_30287.jpg,hand,11
P02_108_31381.jpg,bowl,7
P02_108_32340.jpg,tap,0
P02_108_32517.jpg,hand,11
P02_108_33349.jpg,tap,0
P02_108_33492.jpg,hand,11
P02_108_33745.jpg,drawer,8
P02_108_33802.jpg,drawer,8
P02_108_33860.jpg,drawer,8
P02_108_34071.jpg,dough,25
P02_108_2432.jpg,cupboard,3
P02_108_34209.jpg,bowl,7
P02_108_34516.jpg,bowl,7
P02_108_34842.jpg,spoon,1
P02_108_34842.jpg,knife,4
P02_108_35060.jpg,spoon,1
P02_108_35060.jpg,knife,4
P02_108_36178.jpg,cupboard,3
P02_108_36259.jpg,cupboard,3
P02_108_36338.jpg,cupboard,3
P02_108_2594.jpg,cupboard,3
P02_108_37076.jpg,pan,5
P02_108_37152.jpg,pan,5
P02_108_37796.jpg,tap,0
P02_108_38155.jpg,tap,0
P02_108_38190.jpg,sponge,9
P02_108_38237.jpg,sponge,9
P02_108_38320.jpg,sponge,9
P02_108_38689.jpg,pan,5
P02_108_39025.jpg,tap,0
P02_108_39114.jpg,sponge,9
P02_108_39262.jpg,sponge,9
P02_108_39359.jpg,sponge,9
P02_108_39582.jpg,pan,5
P02_108_2745.jpg,cupboard,3
P02_108_39803.jpg,tap,0
P02_108_39858.jpg,sponge,9
P02_108_39977.jpg,sponge,9
P02_108_40299.jpg,pan,5
P02_108_40615.jpg,sponge,9
P02_108_40666.jpg,tap,0
P02_108_41298.jpg,tap,0
P02_108_41423.jpg,pan,5
P02_108_42394.jpg,tap,0
P02_108_42814.jpg,tap,0
P02_108_2905.jpg,cupboard,3
P02_108_43324.jpg,sponge,9
P02_108_43356.jpg,tap,0
P02_108_43390.jpg,sponge,9
P02_108_43418.jpg,tap,0
P02_108_43446.jpg,sponge,9
P02_108_43745.jpg,sponge,9
P02_108_43784.jpg,tap,0
P02_108_44141.jpg,tap,0
P02_108_44224.jpg,spoon,1
P02_108_44272.jpg,sponge,9
P02_108_44332.jpg,spoon,1
P02_108_44381.jpg,sponge,9
P02_108_44438.jpg,tap,0
P02_108_44508.jpg,spoon,1
P02_108_3042.jpg,cupboard,3
P02_108_44577.jpg,tap,0
P02_108_44615.jpg,spoon,1
P02_108_44665.jpg,glass,10
P02_108_44703.jpg,tap,0
P02_108_44757.jpg,glass,10
P02_108_44757.jpg,tap,0
P02_108_44805.jpg,sponge,9
P02_108_45017.jpg,glass,10
P02_108_45226.jpg,sponge,9
P02_108_45266.jpg,tap,0
P02_108_3106.jpg,cupboard,3
P02_108_45399.jpg,glass,10
P02_108_45526.jpg,tap,0
P02_108_45763.jpg,knife,4
P02_108_45763.jpg,spoon,1
P02_108_45802.jpg,sponge,9
P02_108_45902.jpg,spoon,1
P02_108_46183.jpg,knife,4
P02_108_46340.jpg,sponge,9
P02_108_46374.jpg,tap,0
P02_108_46441.jpg,knife,4
P02_108_46500.jpg,knife,4
P02_108_46511.jpg,spoon,1
P02_108_46795.jpg,tap,0
P02_108_46886.jpg,spoon,1
P02_108_47108.jpg,hand,11
P02_108_47444.jpg,sponge,9
P02_108_47770.jpg,tap,0
P02_108_47747.jpg,sponge,9
P02_108_47821.jpg,tap,0
P02_108_47869.jpg,sponge,9
P02_108_47972.jpg,sponge,9
P02_108_48195.jpg,tap,0
P02_108_48283.jpg,hand,11
P02_108_48351.jpg,tap,0
P02_108_48425.jpg,hand,11
P02_108_48532.jpg,hand,11
P02_108_49740.jpg,fridge,12
P02_108_49802.jpg,drawer,8
P02_108_50050.jpg,drawer,8
P02_108_50085.jpg,fridge,12
P02_108_50573.jpg,drawer,8
P02_108_51583.jpg,drawer,8
P02_108_51634.jpg,knife,4
P02_108_51673.jpg,drawer,8
P02_108_52303.jpg,knife,4
P02_108_3883.jpg,cupboard,3
